名前,ポジション,デュレーション,00_01_GameCount,00_02_Time Out,00_03_Point,00_04_#,01_SV_00,01_SV_01,01_SV_02,01_SV_03,02_RV_01,02_RV_02,02_RV_03
YU Mengyu,62566,8200,0:00,0:00,YU Mengyu,#01,YU Mengyu,(Side),B,F,B,ドライブ,
YU Mengyu,76633,9733,0:00,0:00,YU Mengyu,#05,YU Mengyu,Side,B,B,B,ドライブ,BM
KIHARA Miyuu,92900,6000,0:00,0:00,KIHARA Miyuu,#01,KIHARA Miyuu,(Side),B,FMS,B,Push,
KIHARA Miyuu,104433,6333,0:00,0:00,KIHARA Miyuu,#03,KIHARA Miyuu,(Side),B,BMS,B,Push,B
YU Mengyu,122833,8333,0:00,0:00,KIHARA Miyuu,#02,YU Mengyu,Side,B,FM,B,ドライブ,F
YU Mengyu,139500,10666,0:00,0:00,YU Mengyu,#01,YU Mengyu,Side,B,B,B,ドライブ,
KIHARA Miyuu,162633,5800,0:00,0:00,,SV Let,KIHARA Miyuu,(Side),B,FMS,B,Flick,
KIHARA Miyuu,172766,8666,0:00,0:00,YU Mengyu,#06,KIHARA Miyuu,(Side),B,BS,B,Push,BM
KIHARA Miyuu,190766,5266,0:00,0:00,KIHARA Miyuu,#01,KIHARA Miyuu,(Side),B,BS,B,ドライブ,FM
YU Mengyu,208966,9666,0:00,0:00,YU Mengyu,#03,YU Mengyu,Side,B,FMS,B,Stop,FMS
YU Mengyu,229700,11333,0:00,0:00,KIHARA Miyuu,#06,YU Mengyu,Side,B,FMS,B,Push,B
KIHARA Miyuu,251100,5666,0:00,0:00,KIHARA Miyuu,#01,KIHARA Miyuu,(Side),B,BMS,B,Flick,
KIHARA Miyuu,263700,4600,0:00,0:00,,SV Let,KIHARA Miyuu,(Side),B,BS,B,,
KIHARA Miyuu,270566,5533,0:00,0:00,KIHARA Miyuu,#01,KIHARA Miyuu,(Side),B,FMS,B,Flick,
YU Mengyu,292366,9000,0:00,0:00,YU Mengyu,#01,YU Mengyu,Side,B,FMS,B,Push,
YU Mengyu,309633,11866,0:00,0:00,YU Mengyu,#05,YU Mengyu,Side,B,BS,B,Push,BM
KIHARA Miyuu,333500,11333,0:00,0:00,YU Mengyu,#10-,KIHARA Miyuu,(Side),B,B,B,ドライブ,BM
KIHARA Miyuu,355700,6000,0:00,0:00,KIHARA Miyuu,#03,KIHARA Miyuu,(Side),B,BS,B,Flick,FMS
YU Mengyu,379433,10000,0:00,0:00,KIHARA Miyuu,#02,YU Mengyu,Side,B,B,B,ドライブ,B
YU Mengyu,399233,8933,0:00,0:00,KIHARA Miyuu,#02,YU Mengyu,Side,B,FMS,B,Flick,B
KIHARA Miyuu,415966,5666,0:00,0:00,KIHARA Miyuu,#01,KIHARA Miyuu,(Side),B,FMS,B,Flick,
KIHARA Miyuu,513633,6400,0:01,0:00,KIHARA Miyuu,#01,KIHARA Miyuu,(Side),B,BS,B,Push,
KIHARA Miyuu,524833,6133,0:01,0:00,YU Mengyu,#02,KIHARA Miyuu,(Side),B,BS,B,Push,FM
YU Mengyu,539100,6666,0:01,0:00,YU Mengyu,#01,YU Mengyu,(Side),B,FM,B,ドライブ,
YU Mengyu,557700,7600,0:01,0:00,KIHARA Miyuu,#02,YU Mengyu,(Side),B,FMS,B,Flick,F
KIHARA Miyuu,572833,5133,0:01,0:00,YU Mengyu,#00,KIHARA Miyuu,(Side),B,,B,,
KIHARA Miyuu,584566,7666,0:01,0:00,KIHARA Miyuu,#05,KIHARA Miyuu,(Side),B,FS,B,Push,FM
YU Mengyu,601566,9000,0:01,0:00,KIHARA Miyuu,#02,YU Mengyu,Side,B,FMS,B,Push,BM
YU Mengyu,620100,12400,0:01,0:00,KIHARA Miyuu,#06,YU Mengyu,Side,B,FMS,B,Stop,FMS
KIHARA Miyuu,639900,6800,0:01,0:00,KIHARA Miyuu,#03,KIHARA Miyuu,(Side),B,FS,B,Stop,FMS
KIHARA Miyuu,656100,5666,0:01,0:00,KIHARA Miyuu,#01,KIHARA Miyuu,(Side),B,BS,B,Flick,
YU Mengyu,670566,7933,0:01,0:00,KIHARA Miyuu,#02,YU Mengyu,Side,B,FM,B,ドライブ,B
YU Mengyu,686166,10333,0:01,0:00,YU Mengyu,#07,YU Mengyu,Side,B,BMS,B,Stop,FMS
KIHARA Miyuu,712500,4933,0:01,0:00,,SV Let,KIHARA Miyuu,(Side),B,,B,,
KIHARA Miyuu,721500,5066,0:01,0:00,KIHARA Miyuu,#01,KIHARA Miyuu,(Side),B,BS,B,Push,
KIHARA Miyuu,733566,5200,0:01,0:00,KIHARA Miyuu,#01,KIHARA Miyuu,(Side),B,BS,B,ドライブ,
YU Mengyu,744233,5533,0:01,0:00,KIHARA Miyuu,#02,YU Mengyu,Side,B,B,B,ドライブ,F
YU Mengyu,837700,6866,0:02,0:00,KIHARA Miyuu,#04,YU Mengyu,Back,B,FM,B,ドライブ,F
YU Mengyu,852500,8866,0:02,0:00,KIHARA Miyuu,#04,YU Mengyu,(Side),B,BMS,B,Stop,FMS
KIHARA Miyuu,870966,4733,0:02,0:00,YU Mengyu,#00,KIHARA Miyuu,(Side),B,,B,,
KIHARA Miyuu,881233,6133,0:02,0:00,YU Mengyu,#02,KIHARA Miyuu,(Side),B,BS,B,ドライブ,BM
YU Mengyu,898033,7733,0:02,0:00,KIHARA Miyuu,#02,YU Mengyu,(Side),B,BM,B,ドライブ,B
YU Mengyu,917300,7533,0:02,0:00,KIHARA Miyuu,#02,YU Mengyu,(Side),B,FMS,B,Push,BM
KIHARA Miyuu,1002966,5333,0:02,1:00,KIHARA Miyuu,#01,KIHARA Miyuu,(Side),B,BM,B,ドライブ,
KIHARA Miyuu,1013766,4866,0:02,1:00,KIHARA Miyuu,#01,KIHARA Miyuu,(Side),B,BS,B,空振り,
YU Mengyu,1024700,6666,0:02,1:00,YU Mengyu,#03,YU Mengyu,Back,B,B,B,ドライブ,B
YU Mengyu,1037833,7466,0:02,1:00,KIHARA Miyuu,#02,YU Mengyu,Back,B,B,B,ドライブ,F
KIHARA Miyuu,1051566,6066,0:02,1:00,YU Mengyu,#02,KIHARA Miyuu,(Side),B,FM,B,ドライブ,BM
KIHARA Miyuu,1068900,7933,0:02,1:00,KIHARA Miyuu,#05,KIHARA Miyuu,(Side),B,FS,B,Stop,FMS
YU Mengyu,1091966,12733,0:02,1:00,KIHARA Miyuu,#08,YU Mengyu,(Side),B,FS,B,Push,F
YU Mengyu,1118966,5800,0:02,1:00,YU Mengyu,#01,YU Mengyu,(Side),B,FM,B,ドライブ,FM
KIHARA Miyuu,1134766,4600,0:02,1:00,KIHARA Miyuu,#01,KIHARA Miyuu,(Side),B,FMS,B,Stop,
KIHARA Miyuu,1143900,7266,0:02,1:00,KIHARA Miyuu,#05,KIHARA Miyuu,(Side),B,FMS,B,ドライブ,F
