名前,ポジション,デュレーション,00_01_GameCount,00_02_Time Out,00_03_Point,00_04_#,01_SV_00,01_SV_01,01_SV_02,01_SV_03,02_RV_01,02_RV_02,02_RV_03
KIHARA Miyuu,93800,6333,0:0,0:0,KIHARA Miyuu,#01,KIHARA Miyuu,(Side),B,BMS,B,Chiquita,
KIHARA Miyuu,105466,7400,0:0,0:0,HAYATA Hina,#04,KIHARA Miyuu,(Side),B,F,F,ドライブ,B
HAYATA Hina,123533,7466,0:0,0:0,KIHARA Miyuu,#02,HAYATA Hina,Side,B,B,F,ドライブ,F
HAYATA Hina,141266,6533,0:0,0:0,KIHARA Miyuu,#02,HAYATA Hina,Side,B,FMS,B,Chiquita,FM
KIHARA Miyuu,158133,7200,0:0,0:0,HAYATA Hina,#04,KIHARA Miyuu,(Side),B,FMS,F,Stop,BMS
KIHARA Miyuu,180400,5866,0:0,0:0,KIHARA Miyuu,#01,KIHARA Miyuu,(Side),B,BMS,F,Stop,
HAYATA Hina,200400,6600,0:0,0:0,KIHARA Miyuu,#02,HAYATA Hina,(Side),B,B,F,ドライブ,F
HAYATA Hina,236800,7333,0:0,0:0,HAYATA Hina,#03,HAYATA Hina,Back,B,FMS,F,Push,F
KIHARA Miyuu,258400,9600,0:0,0:0,HAYATA Hina,#06,KIHARA Miyuu,(Side),B,FMS,F,Push,F
KIHARA Miyuu,361000,6133,0:0,0:1,KIHARA Miyuu,#03,KIHARA Miyuu,(Side),B,BMS,F,Push,B
HAYATA Hina,379533,7800,0:0,0:1,HAYATA Hina,#03,HAYATA Hina,Back,B,FMS,F,Push,BM
HAYATA Hina,399600,7133,0:0,0:1,KIHARA Miyuu,#02,HAYATA Hina,Back,B,BMS,B,Stop,FS
KIHARA Miyuu,421800,5733,0:0,0:1,,SV Let,KIHARA Miyuu,(Side),B,,,,
KIHARA Miyuu,430266,6000,0:0,0:1,KIHARA Miyuu,#01,KIHARA Miyuu,(Side),B,BM,B,ドライブ,
KIHARA Miyuu,445133,8200,0:0,0:1,KIHARA Miyuu,#05,KIHARA Miyuu,(Side),B,BMS,B,Chiquita,F
HAYATA Hina,542933,6466,0:0,1:1,HAYATA Hina,#01,HAYATA Hina,Side,B,F,F,ドライブ,
HAYATA Hina,557600,9533,0:0,1:1,HAYATA Hina,#05,HAYATA Hina,Side,B,FMS,F,Flick,FM
KIHARA Miyuu,580400,9200,0:0,1:1,KIHARA Miyuu,#05,KIHARA Miyuu,(Side),B,BMS,F,Push,F
KIHARA Miyuu,602600,8600,0:0,1:1,KIHARA Miyuu,#05,KIHARA Miyuu,(Side),B,BMS,B,Chiquita,BM
