名前,ポジション,デュレーション,00_01_GameCount,00_02_Time Out,00_03_Point,00_04_#,01_SV_00,01_SV_01,01_SV_02,01_SV_03,02_RV_01,02_RV_02,02_RV_03
KIHARA Miyuu,01:44.3,00:07.3,0:00,0:00,KIHARA Miyuu,#03,KIHARA Miyuu,(Side),B,FMS,B,Push,BM
KIHARA Miyuu,01:58.4,00:12.3,0:00,0:00,OJIO Haruna,#08,KIHARA Miyuu,(Side),B,FMS,B,ミユータ,F
OJIO Haruna,02:18.6,00:04.9,0:00,0:00,OJIO Haruna,#01,OJIO Haruna,(Side),B,FMS,F,Push,
OJIO Haruna,02:31.1,00:04.3,0:00,0:00,OJIO Haruna,#01,OJIO Haruna,(Side),B,BM,B,ドライブ,
KIHARA Miyuu,02:41.7,00:10.7,0:00,0:00,KIHARA Miyuu,#07,KIHARA Miyuu,(Side),B,B,B,Push,F
KIHARA Miyuu,03:01.7,00:05.7,0:00,0:00,OJIO Haruna,#00,KIHARA Miyuu,(Side),B,,,,
OJIO Haruna,03:14.2,00:07.1,0:00,0:00,OJIO Haruna,#03,OJIO Haruna,(Side),B,FMS,B,Flick,F
OJIO Haruna,03:27.8,00:09.5,0:00,0:00,OJIO Haruna,#05,OJIO Haruna,(Side),F,F,F,ドライブ,B
KIHARA Miyuu,03:45.7,00:05.6,0:00,0:00,KIHARA Miyuu,#01,KIHARA Miyuu,(Side),B,FMS,B,Push,
KIHARA Miyuu,03:58.2,00:06.9,0:00,0:00,KIHARA Miyuu,#03,KIHARA Miyuu,(Side),B,FM,B,ミユータ,FM
OJIO Haruna,04:12.8,00:05.3,0:00,0:00,OJIO Haruna,#03,OJIO Haruna,(Side),F,FS,B,Flick,F
OJIO Haruna,04:27.0,00:12.0,0:00,0:00,KIHARA Miyuu,#10-,OJIO Haruna,(Side),F,BMS,F,Push,BM
KIHARA Miyuu,04:52.3,00:12.8,0:00,0:00,KIHARA Miyuu,#09-,KIHARA Miyuu,(Side),B,FMS,B,Push,BM
KIHARA Miyuu,05:18.9,00:07.0,0:00,0:00,KIHARA Miyuu,#01,KIHARA Miyuu,(Side),B,FMS,B,Push,
OJIO Haruna,05:33.8,00:09.8,0:00,0:00,KIHARA Miyuu,#06,OJIO Haruna,(Side),B,B,F,ドライブ,B
OJIO Haruna,05:50.2,00:06.1,0:00,0:00,OJIO Haruna,#03,OJIO Haruna,(Side),B,FS,F,Flick,BM
KIHARA Miyuu,06:11.5,00:15.5,0:00,0:00,KIHARA Miyuu,#09-,KIHARA Miyuu,(Side),B,B,B,Push,B
