名前,ポジション,デュレーション,00_01_GameCount,00_02_Time Out,00_03_Point,00_04_#,01_SV_00,01_SV_01,01_SV_02,01_SV_03,02_RV_01,02_RV_02,02_RV_03
KIMURA Kasumi,02:26.0,00:05.8,0:00,0:00,HAYATA Hina,#02,KIMURA Kasumi,Side,F,FMS,F,Stop,BMS
KIMURA Kasumi,02:38.7,00:06.0,0:00,0:00,KIMURA Kasumi,#03,KIMURA Kasumi,(Side),B,FMS,F,Stop,FMS
HAYATA Hina,02:50.2,00:09.0,0:00,0:00,HAYATA Hina,#05,HAYATA Hina,(Side),F,FMS,B,Chiquita,FM
HAYATA Hina,03:05.0,00:06.1,0:00,0:00,HAYATA Hina,#01,HAYATA Hina,(Side),F,BMS,F,ドライブ,
KIMURA Kasumi,03:17.5,00:05.9,0:00,0:00,KIMURA Kasumi,#03,KIMURA Kasumi,Side,B,FMS,F,Push,B
KIMURA Kasumi,03:29.0,00:04.7,0:00,0:00,KIMURA Kasumi,#01,KIMURA Kasumi,(Side),B,FMS,B,Chiquita,
HAYATA Hina,03:44.4,00:09.1,0:00,0:00,KIMURA Kasumi,#04,HAYATA Hina,(Side),F,FMS,F,ドライブ,BM
HAYATA Hina,04:02.0,00:06.8,0:00,0:00,,SV Let,HAYATA Hina,Side,B,FMS,F,Stop,
HAYATA Hina,04:14.6,00:07.5,0:00,0:00,KIMURA Kasumi,#02,HAYATA Hina,(Side),F,BMS,B,Chiquita,F
KIMURA Kasumi,04:29.1,00:06.9,0:00,0:00,KIMURA Kasumi,#03,KIMURA Kasumi,Side,B,FMS,F,Stop,FMS
KIMURA Kasumi,04:42.0,00:04.5,0:00,0:00,,SV Let,KIMURA Kasumi,,,,,,
KIMURA Kasumi,04:49.1,00:05.7,0:00,0:00,HAYATA Hina,#02,KIMURA Kasumi,Back,B,FMS,F,ドライブ,B
HAYATA Hina,05:04.6,00:07.0,0:00,0:00,HAYATA Hina,#03,HAYATA Hina,(Side),B,BM,F,ドライブ,B
HAYATA Hina,05:17.4,00:06.5,0:00,0:00,,SV Let,HAYATA Hina,(Side),B,,,,
HAYATA Hina,05:26.6,00:08.6,0:00,0:00,KIMURA Kasumi,#02,HAYATA Hina,Side,B,B,B,ドライブ,FM
KIMURA Kasumi,05:44.0,00:05.2,0:00,0:00,KIMURA Kasumi,#01,KIMURA Kasumi,(Side),B,BM,F,ドライブ,
KIMURA Kasumi,05:54.7,00:05.7,0:00,0:00,HAYATA Hina,#02,KIMURA Kasumi,(Side),B,BM,F,ドライブ,B
HAYATA Hina,06:09.3,00:08.1,0:00,0:00,HAYATA Hina,#01,HAYATA Hina,Side,B,FMS,F,Flick,
