名前,ポジション,デュレーション,00_01_GameCount,00_02_Time Out,00_03_Point,00_04_#,01_SV_00,01_SV_01,01_SV_02,01_SV_03,02_RV_01,02_RV_02,02_RV_03
LIN Ye,00:48.2,00:20.1,0:00,0:00,LIN Ye,#09-,LIN Ye,Side,B,FM,F,Push,B
LIN Ye,01:20.9,00:06.6,0:00,0:00,,SV Let,LIN Ye,Side,B,,,,
LIN Ye,01:29.7,00:07.5,0:00,0:00,OJIO Haruna,#02,LIN Ye,Back,B,FMS,F,Push,F
OJIO Haruna,01:48.1,00:06.8,0:00,0:00,LIN Ye,#04,OJIO Haruna,(Side),B,BM,B,Push,BM
OJIO Haruna,02:00.8,00:14.0,0:00,0:00,LIN Ye,#10-,OJIO Haruna,(Side),B,BMS,B,Push,FM
LIN Ye,02:28.1,00:10.2,0:00,0:00,LIN Ye,#03,LIN Ye,Back,B,FS,B,Push,BM
LIN Ye,02:48.2,00:08.3,0:00,0:00,LIN Ye,#03,LIN Ye,Back,B,F,F,Push,B
OJIO Haruna,03:10.3,00:12.4,0:00,0:00,LIN Ye,#08,OJIO Haruna,(Side),F,FMS,F,Push,F
OJIO Haruna,03:28.6,00:05.7,0:00,0:00,,SV Let,OJIO Haruna,(Side),F,BM,B,,
OJIO Haruna,03:36.7,00:09.7,0:00,0:00,LIN Ye,#06,OJIO Haruna,(Side),F,BS,B,Push,FM
LIN Ye,03:57.0,00:07.7,0:00,0:00,OJIO Haruna,#02,LIN Ye,Back,B,B,B,Push,B
LIN Ye,04:16.2,00:11.3,0:00,0:00,LIN Ye,#05,LIN Ye,Back,B,FMS,F,Push,
OJIO Haruna,04:34.9,00:08.8,0:00,0:00,OJIO Haruna,#05,OJIO Haruna,(Side),B,B,B,Push,FM
OJIO Haruna,04:50.4,00:08.6,0:00,0:00,OJIO Haruna,#05,OJIO Haruna,(Side),F,B,B,ドライブ,FM
LIN Ye,05:19.1,00:08.4,0:00,0:00,LIN Ye,#01,LIN Ye,Back,B,FS,F,Push,
LIN Ye,05:33.7,00:15.6,0:00,0:00,OJIO Haruna,#10-,LIN Ye,Back,B,FS,F,Push,F
OJIO Haruna,06:01.9,00:11.0,0:00,0:00,LIN Ye,#08,OJIO Haruna,(Side),B,FMS,F,Push,FM
OJIO Haruna,06:21.9,00:08.1,0:00,0:00,OJIO Haruna,#05,OJIO Haruna,(Side),B,BM,B,Push,FM
LIN Ye,06:43.1,00:19.3,0:00,0:00,OJIO Haruna,#10-,LIN Ye,Back,B,FS,B,Push,BM
LIN Ye,07:21.1,00:08.9,0:00,0:00,OJIO Haruna,#02,LIN Ye,Back,B,F,F,Push,F
OJIO Haruna,07:45.7,00:16.9,0:00,0:00,LIN Ye,#10-,OJIO Haruna,(Side),B,BMS,B,Push,F
OJIO Haruna,09:40.8,00:06.8,0:01,0:00,OJIO Haruna,#03,OJIO Haruna,(Side),F,FMS,F,Push,F
OJIO Haruna,09:56.9,00:09.7,0:01,0:00,LIN Ye,#06,OJIO Haruna,(Side),B,BM,B,Push,FM
LIN Ye,10:16.1,00:09.4,0:01,0:00,OJIO Haruna,#02,LIN Ye,Back,B,FS,F,Push,F
